20
20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,43,44,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,51,52,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,57,58,59,60,0,0,0,
0,0,0,0,0,0,0,41,42,43,44,0,0,65,66,67,68,0,0,0,
0,0,0,0,0,0,0,49,50,51,52,0,0,73,74,75,76,0,0,0,
0,0,0,0,0,0,0,57,58,59,60,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,65,66,67,68,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,73,74,75,76,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

